Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m),Stopping criterion
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,50.00000,11934.00000,2001.00000,0.16767,1.00000,1.00000,2.98761,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,161.00000,11934.00000,5664.00000,0.47461,1.00000,1.00000,2.64575,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,200.00000,11934.00000,6951.00000,0.58245,1.00000,1.00000,2.66747,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,250.00000,11934.00000,8601.00000,0.72071,1.00000,1.00000,2.64575,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,300.00000,11934.00000,10251.00000,0.85897,1.00000,1.00000,2.49137,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,351.00000,11934.00000,11934.00000,1.00000,1.00000,1.00000,0.00000,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,340.00000,11934.00000,11571.00000,0.96958,1.00000,1.00000,2.12132,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,350.00000,11934.00000,11901.00000,0.99723,1.00000,1.00000,0.19199,34.00000,max
iono-mod-norm,randomized-dl,351.00000,34.00000,0.70972,120.00000,11934.00000,4773.00000,0.39995,2.00000,1.65812,2.40776,34.00000,max
iono-mod-norm,randomized-dl,351.00000,34.00000,0.70972,200.00000,11934.00000,7253.00000,0.60776,2.00000,1.43020,2.40776,34.00000,max
iono-mod-norm,randomized-dl,351.00000,34.00000,0.70972,300.00000,11934.00000,10353.00000,0.86752,2.00000,1.14530,2.13908,34.00000,max
iono-mod-norm,randomized-dch,351.00000,34.00000,0.70972,95.00000,11934.00000,8824.00000,0.73940,34.00000,8.60399,2.47280,34.00000,max
iono-mod-norm,randomized-dch,351.00000,34.00000,0.70972,200.00000,11934.00000,9779.00000,0.81942,34.00000,5.02849,2.32032,34.00000,max
iono-mod-norm,randomized-dch,351.00000,34.00000,0.70972,300.00000,11934.00000,10859.00000,0.90992,34.00000,1.86610,2.13742,34.00000,max
iono-mod-norm,randomized-dchperceptron,351.00000,34.00000,0.70972,94.00000,11934.00000,8811.00000,0.73831,34.00000,8.63248,2.45645,34.00000,max
iono-mod-norm,randomized-dchperceptron,351.00000,34.00000,0.70972,200.00000,11934.00000,9875.00000,0.82747,34.00000,5.16524,2.31381,34.00000,max
iono-mod-norm,randomized-dchperceptron,351.00000,34.00000,0.70972,300.00000,11934.00000,10873.00000,0.91109,34.00000,1.88604,2.13246,34.00000,max
iono-mod-norm,randomized-dp,351.00000,34.00000,0.70972,129.00000,11934.00000,4608.00000,0.38612,1.00000,1.00000,0.47683,34.00000,mean
iono-mod-norm,randomized-dl,351.00000,34.00000,0.70972,73.00000,11934.00000,3316.00000,0.27786,2.00000,1.79202,0.53827,34.00000,mean
iono-mod-norm,randomized-dch,351.00000,34.00000,0.70972,34.00000,11934.00000,2741.00000,0.22968,3.00000,2.80627,0.70565,34.00000,mean
iono-mod-norm,randomized-dchperceptron,351.00000,34.00000,0.70972,34.00000,11934.00000,4009.00000,0.33593,5.00000,4.61254,0.70632,34.00000,mean
CTG-mod-norm,randomized-dp,2126.00000,21.00000,0.18247,1417.00000,44646.00000,30466.00000,0.68239,1.00000,1.00000,1.08702,21.00000,max
CTG-mod-norm,randomized-dp,2126.00000,21.00000,0.18247,2000.00000,44646.00000,42126.00000,0.94356,1.00000,1.00000,0.51609,21.00000,max
CTG-mod-norm,randomized-dl,2126.00000,21.00000,0.18247,628.00000,44646.00000,17682.00000,0.39605,2.00000,1.70461,1.00745,21.00000,max
