Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m),Stopping criterion
CTG-mod-norm,randomized-dch,2126.00000,21.00000,0.18247,346.00000,44646.00000,37866.00000,0.84814,21.00000,7.77799,1.01932,21.00000,max
CTG-mod-norm,randomized-dchperceptron,2126.00000,21.00000,0.18247,314.00000,44646.00000,39232.00000,0.87873,21.00000,8.24976,1.01922,21.00000,max
CTG-mod-norm,randomized-dp,2126.00000,21.00000,0.18247,966.00000,44646.00000,21446.00000,0.48036,1.00000,1.00000,0.12397,21.00000,mean
CTG-mod-norm,randomized-dl,2126.00000,21.00000,0.18247,288.00000,44646.00000,11562.00000,0.25897,2.00000,1.86453,0.17625,21.00000,mean
CTG-mod-norm,randomized-dch,2126.00000,21.00000,0.18247,86.00000,44646.00000,85366.00000,1.91206,21.00000,20.17215,0.24594,21.00000,mean
CTG-mod-norm,randomized-dchperceptron,2126.00000,21.00000,0.18247,77.00000,44646.00000,85546.00000,1.91610,21.00000,20.25682,0.25365,21.00000,mean
wdbc-mod-norm,randomized-dp,569.00000,30.00000,0.32456,329.00000,17070.00000,10110.00000,0.59227,1.00000,1.00000,1.16002,30.00000,max
wdbc-mod-norm,randomized-dl,569.00000,30.00000,0.32456,106.00000,17070.00000,4569.00000,0.26766,2.00000,1.81371,1.12594,30.00000,max
wdbc-mod-norm,randomized-dch,569.00000,30.00000,0.32456,61.00000,17070.00000,8714.00000,0.51049,30.00000,6.60281,1.60241,30.00000,max
wdbc-mod-norm,randomized-dchperceptron,569.00000,30.00000,0.32456,60.00000,17070.00000,9269.00000,0.54300,30.00000,7.11599,1.60176,30.00000,max
wdbc-mod-norm,randomized-dp,569.00000,30.00000,0.32456,222.00000,17070.00000,7007.00000,0.41049,1.00000,1.00000,0.22212,30.00000,mean
wdbc-mod-norm,randomized-dl,569.00000,30.00000,0.32456,38.00000,17070.00000,2733.00000,0.16011,2.00000,1.93322,0.29314,30.00000,mean
wdbc-mod-norm,randomized-dch,569.00000,30.00000,0.32456,20.00000,17070.00000,32991.00000,1.93269,30.00000,28.98067,0.33054,30.00000,mean
wdbc-mod-norm,randomized-dchperceptron,569.00000,30.00000,0.32456,18.00000,17070.00000,33049.00000,1.93609,30.00000,29.08260,0.34186,30.00000,mean
mnist1,randomized-dp,1000.00000,784.00000,5.47235,723.00000,784000.00000,567109.00000,0.72335,1.00000,1.00000,8.89902,784.00000,max
mnist1,randomized-dl,1000.00000,784.00000,5.47235,408.00000,784000.00000,321648.00000,0.41027,2.00000,1.59200,8.11899,784.00000,max
mnist1,randomized-dp,1000.00000,784.00000,5.47235,473.00000,784000.00000,371359.00000,0.47367,1.00000,1.00000,3.06284,784.00000,mean
mnist1,randomized-dl,1000.00000,784.00000,5.47235,211.00000,784000.00000,167791.00000,0.21402,2.00000,1.78900,4.07594,784.00000,mean
20newsgroups1000_1,randomized-dp,1500.00000,1000.00000,1.39562,988.00000,1500000.00000,988512.00000,0.65901,1.00000,1.00000,10.10129,1000.00000,max
20newsgroups1000_1,randomized-dp,1500.00000,1000.00000,1.39562,674.00000,1500000.00000,674826.00000,0.44988,1.00000,1.00000,0.85591,1000.00000,mean
20newsgroups1000_1,randomized-dl,1500.00000,1000.00000,1.39562,388.00000,1500000.00000,391336.00000,0.26089,2.00000,1.74133,1.07665,1000.00000,mean
mnist1,randomized-dch,1000.00000,784.00000,5.47235,187.00000,784000.00000,151721.00000,0.19352,10.00000,3.15000,7.55551,10.00000,max
mnist1,randomized-dchperceptron,1000.00000,784.00000,5.47235,190.00000,784000.00000,154826.00000,0.19748,10.00000,3.52800,7.57105,10.00000,max
mnist1,randomized-dch,1000.00000,784.00000,5.47235,76.00000,784000.00000,60508.00000,0.07718,1.00000,1.00000,5.42698,10.00000,mean
mnist1,randomized-dchperceptron,1000.00000,784.00000,5.47235,81.00000,784000.00000,66261.00000,0.08452,2.00000,1.91900,5.33909,10.00000,mean
20newsgroups1000_1,randomized-dch,1500.00000,1000.00000,1.39562,587.00000,1500000.00000,595055.00000,0.39670,10.00000,3.38067,9.70897,10.00000,max
20newsgroups1000_1,randomized-dchperceptron,1500.00000,1000.00000,1.39562,572.00000,1500000.00000,580116.00000,0.38674,10.00000,3.39600,9.04000,10.00000,max
20newsgroups1000_1,randomized-dch,1500.00000,1000.00000,1.39562,174.00000,1500000.00000,180578.00000,0.12039,3.00000,2.75067,1.38993,10.00000,mean
20newsgroups1000_1,randomized-dchperceptron,1500.00000,1000.00000,1.39562,188.00000,1500000.00000,194496.00000,0.12966,3.00000,2.72800,1.37664,10.00000,mean
