Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,15.00000,3.48639,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,10.00000,3.23129,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,5.00000,4.16667,
mnist2-deskewed,dl-max,2000.00000,784.00000,4.40851,824.00000,1.00000,5.78231,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,45.00000,32.11304,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,40.00000,30.89274,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,35.00000,27.16763,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,30.00000,24.85549,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,25.00000,20.68080,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,20.00000,14.32241,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,15.00000,10.91843,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,10.00000,9.69814,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,5.00000,8.47784,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,1.00000,12.07450,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,45.00000,33.39695,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,40.00000,32.95165,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,35.00000,31.99746,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,30.00000,28.81679,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,25.00000,23.47328,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,20.00000,18.95674,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,15.00000,15.58524,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,10.00000,12.78626,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,5.00000,8.58779,
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,1.00000,11.19593,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,45.00000,25.12171,
mnist2-deskewed,dp-mean,2000.00000,784.00000,4.40851,973.00000,40.00000,24.53749,
