Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,25.00000,12.33790,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,20.00000,9.41089,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,15.00000,6.26158,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,10.00000,2.40830,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,5.00000,2.29715,
mnist3-deskewed,dp-mean,5000.00000,784.00000,4.12032,2301.00000,1.00000,2.92701,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,45.00000,1.89718,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,40.00000,1.74419,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,35.00000,1.62179,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,30.00000,1.34639,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,25.00000,1.13219,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,20.00000,1.04039,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,15.00000,0.88739,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,10.00000,0.70379,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,5.00000,0.76499,
mnist4-deskewed,dp-max,10000.00000,784.00000,3.94778,6732.00000,1.00000,0.52020,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,45.00000,11.05546,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,40.00000,7.97626,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,35.00000,5.65758,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,30.00000,4.13652,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,25.00000,3.43165,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,20.00000,3.02356,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,15.00000,2.30013,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,10.00000,1.83639,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,5.00000,1.74365,
mnist4-deskewed,dp-mean,10000.00000,784.00000,3.94778,4609.00000,1.00000,1.92914,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,45.00000,6.18429,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,40.00000,5.87508,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,35.00000,5.68955,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,30.00000,5.00928,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,25.00000,4.94743,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,20.00000,4.51453,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,15.00000,4.14348,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,10.00000,3.71058,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,5.00000,3.89610,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,3383.00000,1.00000,3.83426,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,45.00000,9.29974,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,40.00000,9.18859,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,35.00000,8.29937,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,30.00000,7.52130,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,25.00000,7.03964,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,20.00000,6.74324,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,15.00000,5.85402,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,10.00000,5.22416,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,5.00000,4.70545,
mnist3-deskewed,randomized,5000.00000,784.00000,4.12032,2301.00000,1.00000,4.37199,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,45.00000,6.79315,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,40.00000,6.60955,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,35.00000,6.18115,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,30.00000,5.93635,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,25.00000,5.47736,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,20.00000,4.89596,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,15.00000,4.40636,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,10.00000,3.91677,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,5.00000,3.70257,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,6732.00000,1.00000,3.39657,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,45.00000,6.36246,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,40.00000,6.19551,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,35.00000,5.88017,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,30.00000,5.58338,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,25.00000,5.43498,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,20.00000,4.93415,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,15.00000,4.71156,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,10.00000,4.26637,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,5.00000,4.06233,
mnist4-deskewed,randomized,10000.00000,784.00000,4.12032,4609.00000,1.00000,3.91393,
mnist2-deskewed,dch-max,2000.00000,784.00000,4.40851,443.00000,-1.00000,9.69814,variable sparsity+weighted kNN(on atoms)
mnist2-deskewed,dchperceptron-max,2000.00000,784.00000,4.40851,428.00000,-1.00000,56.10687,variable sparsity+weighted kNN(on atoms)
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,-1.00000,17.51381,variable sparsity+weighted kNN(on atoms)
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,-1.00000,90.04975,variable sparsity+weighted kNN(on atoms)
