Dataset name,Algorithm,No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost,Max sparsity(m)
20newsgroups1000_1,dp,1500.00000,1000.00000,1.39562,988.00000,1500000.00000,988512.00000,0.65901,1.00000,1.00000,1.39552,1.00000,max
20newsgroups1000_1,dp,1500.00000,1000.00000,1.39562,674.00000,1500000.00000,674826.00000,0.44988,1.00000,1.00000,0.76777,1.00000,mean
20newsgroups1000_1,dch,1500.00000,1000.00000,1.39562,587.00000,1500000.00000,590983.00000,0.39399,10.00000,2.02333,1.39554,10.00000,max
20newsgroups1000_1,dch,1500.00000,1000.00000,1.39562,174.00000,1500000.00000,180570.00000,0.12038,3.00000,2.74800,1.38520,10.00000,mean
20newsgroups1000_1,dchperceptron,1500.00000,1000.00000,1.39562,572.00000,1500000.00000,575870.00000,0.38391,10.00000,1.98067,1.39559,10.00000,max
20newsgroups1000_1,dchperceptron,1500.00000,1000.00000,1.39562,188.00000,1500000.00000,197094.00000,0.13140,4.00000,3.59400,1.36437,10.00000,mean
20newsgroups1000_1,KSVD,1500.00000,1000.00000,1.39562,50.00000,1500000.00000,,,,,,,
20newsgroups1000_1,KSVD,1500.00000,1000.00000,1.39562,100.00000,1500000.00000,156512.00000,0.10434,37.67467,37.67467,1.27822,100.00000,max
20newsgroups1000_1,KSVD,1500.00000,1000.00000,1.39562,188.00000,1500000.00000,243675.00000,0.16245,37.11667,37.11667,1.13178,188.00000,max
