No. of points(n), No. of dimensions(d), Epsilon, Size of subset(points in U), Sparsity for points not in U, Sparsity coeff, Avg.Cost
351,34,1.4024,163,1,0.006135,0.94768
2126,21,8.9017,1395,1,0.00071685,5.3103
