355,404,363
383,423,366
377,402,370
414,401,359
390,433,384
332,557,316
522,574,525
417,418,411
624,604,628
395,400,387
409,393,392
394,384,378
374,375,362
423,438,432
404,449,416
353,358,340
375,388,385
403,392,405
408,390,390
373,370,384
391,391,394
473,483,479
319,512,357
465,493,461
492,465,467
509,490,523
496,563,518
537,590,550
517,533,515
468,492,459
572,594,592
528,553,533
390,399,381
429,449,428
416,426,391
356,357,349
441,473,458
378,365,368
395,416,388
376,460,391
373,387,360
679,735,682
443,489,442
370,349,351
469,472,475
407,440,393
414,425,400
429,404,420
336,378,344
391,395,382
389,371,335
412,581,431
368,436,352
405,423,384
498,440,477
527,508,512
350,337,345
345,517,343
408,384,403
458,416,429
423,423,411
426,403,426
399,418,390
370,379,359
395,382,376
444,441,430
409,424,403
406,379,408
374,384,374
384,390,370
416,403,381
371,368,370
370,390,358
577,575,592
566,564,577
396,398,402
433,433,411
401,369,351
473,506,467
356,379,361
354,357,373
461,514,455
373,379,376
405,421,395
432,446,448
369,369,357
358,351,345
357,318,333
413,399,398
354,366,342
360,353,364
354,360,385
458,474,442
396,402,404
369,361,355
605,654,588
408,446,416
362,376,367
380,395,399
394,357,346
365,384,378
369,380,349
363,378,361
400,422,402
430,456,423
339,349,326
364,378,348
379,364,382
310,324,311
361,359,357
351,375,371
403,394,404
420,426,411
399,396,391
362,378,363
367,356,361
387,411,383
413,381,407
394,400,364
398,416,370
363,368,364
407,386,378
384,385,389
416,390,394
337,361,340
387,402,375
363,371,350
367,369,376
412,436,393
402,373,413
369,371,365
373,370,356
373,381,377
366,400,368
404,368,399
377,359,376
324,376,349
373,387,374
372,355,357
411,464,415
393,394,382
369,367,356
459,480,457
356,363,356
361,353,367
386,386,376
382,365,391
315,339,297
314,312,339
363,360,351
356,376,351
400,419,402
379,364,379
404,418,402
368,384,369
384,394,388
353,315,371
438,455,440
373,412,365
405,391,394
382,393,382
382,406,370
304,356,302
402,395,385
300,333,301
390,408,383
392,401,387
343,356,330
370,371,365
404,418,400
355,350,372
367,385,367
366,364,352
419,426,410
423,420,427
632,688,649
351,362,339
414,435,414
348,362,354
372,379,364
362,382,356
350,356,317
636,648,636
370,381,382
400,357,390
377,391,367
386,394,361
381,376,354
444,471,433
387,365,383
387,391,391
367,361,353
419,433,416
386,397,368
332,381,335
377,372,363
372,382,375
431,438,419
383,378,365
388,393,382
348,344,354
347,367,341
381,381,360
361,353,360
408,432,411
366,378,358
390,401,364
321,351,298
380,372,349
398,385,398
304,323,312
342,346,341
378,374,362
375,387,376
332,357,349
352,349,373
439,374,418
360,364,356
375,355,384
399,417,395
587,659,587
305,364,312
400,417,389
384,364,368
400,390,403
435,383,379
398,391,394
438,443,431
406,391,392
471,472,448
441,499,413
365,361,359
387,357,381
586,584,570
407,386,396
364,379,371
413,396,395
398,421,396
367,373,350
363,385,364
397,410,380
371,377,355
367,376,350
382,372,368
359,335,341
361,367,383
393,399,387
398,411,394
397,391,381
379,416,380
405,415,392
398,402,385
352,341,300
368,365,368
426,421,411
430,416,425
355,355,358
365,370,362
362,372,358
370,372,351
396,374,369
352,342,351
394,364,334
287,335,291
403,385,388
348,381,359
377,404,372
338,349,340
362,375,368
457,462,441
386,391,369
418,441,414
388,382,373
385,393,373
372,356,335
476,481,479
425,413,413
365,363,355
313,320,330
374,377,394
383,358,377
368,378,346
387,377,379
384,362,351
361,360,359
404,393,386
393,395,381
386,380,393
400,370,370
363,381,367
376,385,374
410,403,378
416,432,394
341,349,333
363,349,342
380,386,383
371,365,370
279,322,286
395,418,380
371,371,354
360,385,363
376,385,368
370,369,363
383,400,374
402,471,399
425,474,424
417,478,411
383,486,375
338,477,316
326,386,314
402,427,408
388,398,378
396,437,393
468,496,467
404,468,390
384,375,365
353,370,356
394,414,376
429,449,435
411,369,373
478,519,476
436,475,439
383,392,370
524,561,542
456,456,440
389,409,387
361,371,359
349,338,331
311,371,311
350,346,332
392,416,388
405,454,421
406,413,400
404,429,407
317,323,311
545,568,550
383,440,380
395,420,396
399,393,385
326,409,329
391,403,380
443,447,440
417,447,406
445,496,423
455,498,443
314,417,318
416,463,392
471,489,481
397,451,395
393,441,382
378,373,344
621,651,638
398,382,388
431,458,441
379,421,377
480,545,489
468,539,467
391,397,384
462,523,464
425,434,420
387,385,373
432,419,401
391,401,364
423,426,416
367,379,348
499,537,496
377,371,360
384,396,354
382,404,368
391,409,392
429,491,425
420,445,400
403,408,367
430,452,425
456,497,454
342,368,353
395,413,386
452,478,442
513,523,502
612,660,596
406,406,384
439,445,432
360,380,359
401,397,375
402,398,402
436,427,424
370,367,363
400,426,394
385,377,377
379,414,359
393,381,377
410,440,405
414,449,412
403,420,395
504,496,494
407,434,398
323,475,329
487,492,491
524,568,544
452,451,450
398,412,385
472,488,466
424,437,416
424,438,417
437,435,429
462,486,470
455,474,459
466,455,414
416,422,397
635,682,636
405,375,370
380,366,352
384,409,361
348,353,334
342,364,354
428,465,422
347,358,350
359,317,358
429,444,433
496,400,426
367,370,360
