No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost
2126,21,0.18247,346,44646,12606,0.28235,2,0.00531,0.17105
2126,21,0.18247,346,44646,12606,0.28235,2,0.00531,0.17105
2126,21,0.18247,436,44646,17606,0.39435,3,0.00594,0.18062
2126,21,0.18247,346,44646,12606,0.28235,2,0.00531,0.17105
2126,21,0.18247,346,44646,12606,0.28235,2,0.00531,0.17105
