No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost
2126,21,8.9017,399,44646,13560,0.30372,2,0.0045422,4.6301
2126,21,8.9017,399,44646,13560,0.30372,2,0.0045422,4.6301
