No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost
1000,784,5.4724,190,7.84e+05,1.5058e+05,0.19207,2,0.0095263,4.6331
1000,784,5.4724,190,7.84e+05,1.5058e+05,0.19207,2,0.0095263,4.6331
