Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),# neighbours,error
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,15.00000,31.32597,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,20.00000,33.92265,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,25.00000,36.74033,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,30.00000,38.67403,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,35.00000,41.10497,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,40.00000,42.59669,
mnist2-deskewed,dch-mean,2000.00000,784.00000,4.40851,190.00000,45.00000,45.19337,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,1.00000,19.56882,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,5.00000,22.27750,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,10.00000,23.54892,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,15.00000,31.50912,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,20.00000,33.16750,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,25.00000,35.37866,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,30.00000,38.19790,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,35.00000,39.52460,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,40.00000,41.79104,
mnist2-deskewed,dchperceptron-mean,2000.00000,784.00000,4.40851,191.00000,45.00000,43.50470,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,1.00000,4.85133,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,5.00000,4.85133,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,10.00000,5.63380,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,15.00000,6.41628,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,20.00000,7.51174,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,25.00000,7.98122,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,30.00000,7.98122,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,35.00000,8.92019,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,40.00000,9.38967,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,1361.00000,45.00000,10.64163,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,1.00000,6.29252,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,5.00000,6.88776,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,10.00000,8.33333,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,15.00000,9.77891,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,20.00000,10.71429,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,25.00000,11.73469,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,30.00000,11.81973,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,35.00000,12.24490,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,40.00000,12.84014,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,824.00000,45.00000,13.77551,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,1.00000,8.73475,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,5.00000,7.83558,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,10.00000,8.47784,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,15.00000,10.08349,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,20.00000,11.81760,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,25.00000,13.61593,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,30.00000,15.28581,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,35.00000,16.82723,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,40.00000,18.36866,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,443.00000,45.00000,20.35967,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,1.00000,9.09669,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,5.00000,8.01527,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,10.00000,8.84224,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,15.00000,9.98728,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,20.00000,11.70483,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,25.00000,13.99491,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,30.00000,15.58524,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,35.00000,16.98473,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,40.00000,18.76590,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,428.00000,45.00000,20.54707,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,1.00000,6.32911,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,5.00000,7.10808,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,10.00000,8.27653,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,15.00000,8.27653,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,20.00000,9.05550,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,25.00000,9.54236,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,30.00000,9.93184,
mnist2-deskewed,randomized,2000.00000,784.00000,4.40850,973.00000,35.00000,10.32132,
