No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost
351,34,0.70972,120,11934,4773,0.39995,2,0.013818,0.31037
351,34,0.70972,120,11934,4773,0.39995,2,0.013818,0.31037
351,34,0.70972,120,11934,4773,0.39995,2,0.013818,0.31037
351,34,0.70972,120,11934,4773,0.39995,2,0.013818,0.31037
