Dataset,Algorithm,# points(n),# features(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Max actual sparsity,Sparsity coeff,Final cost,Max allowed sparsity(m),Stopping criterion
NY_SAT_2010,dp,386.00000,4.00000,18.88715,197.00000,1544.00000,977.00000,0.63277,1.00000,1.00000,18.57418,1.00000,max
NY_SAT_2010-norm,dp,386.00000,4.00000,0.03553,203.00000,1544.00000,995.00000,0.64443,1.00000,1.00000,0.03508,1.00000,max
NY_SAT_2010-norm,dp,386.00000,4.00000,0.03553,127.00000,1544.00000,767.00000,0.49676,1.00000,1.00000,0.02371,1.00000,mean
NY_SAT_2010-norm,dl,386.00000,4.00000,0.03553,31.00000,1544.00000,1189.00000,0.77008,2.00000,1.91969,0.03451,2.00000,max
NY_SAT_2010-norm,dl,386.00000,4.00000,0.03553,14.00000,1544.00000,1172.00000,0.75907,2.00000,1.96373,0.03354,2.00000,mean
NY_SAT_2010-norm,dch,386.00000,4.00000,0.03553,39.00000,1544.00000,2535.00000,1.64184,10.00000,3.63212,0.03544,10.00000,max
NY_SAT_2010-norm,dch,386.00000,4.00000,0.03553,14.00000,1544.00000,4148.00000,2.68653,6.00000,5.81865,0.03214,10.00000,mean
NY_SAT_2010-norm,dchperceptron,386.00000,4.00000,0.03553,35.00000,1544.00000,2757.00000,1.78562,10.00000,3.93523,0.03552,10.00000,max
NY_SAT_2010-norm,dchperceptron,386.00000,4.00000,0.03553,9.00000,1544.00000,5691.00000,3.68588,8.00000,7.83679,0.03472,10.00000,mean
mnist1-deskewed,dp,1000.00000,784.00000,4.66093,697.00000,784000.00000,546751.00000,0.69739,1.00000,1.00000,4.66014,1.00000,max
mnist1-deskewed,dch,1000.00000,784.00000,4.66093,255.00000,784000.00000,203829.00000,0.25999,10.00000,2.58200,4.66084,10.00000,max
mnist1-deskewed,dchperceptron,1000.00000,784.00000,4.66093,242.00000,784000.00000,193632.00000,0.24698,10.00000,2.57300,4.66074,10.00000,max
mnist1-deskewed,dp,1000.00000,784.00000,4.66093,474.00000,784000.00000,372142.00000,0.47467,1.00000,1.00000,2.45020,1.00000,mean
mnist1-deskewed,dl,1000.00000,784.00000,4.66093,233.00000,784000.00000,184973.00000,0.23593,2.00000,1.76700,3.57382,2.00000,mean
mnist1-deskewed,dch,1000.00000,784.00000,4.66093,106.00000,784000.00000,87570.00000,0.11170,3.00000,2.78600,4.53094,10.00000,mean
mnist1-deskewed,dchperceptron,1000.00000,784.00000,4.66093,121.00000,784000.00000,99255.00000,0.12660,3.00000,2.75600,4.38552,10.00000,mean
mnist1-deskewed,dch,1000.00000,784.00000,4.66093,255.00000,784000.00000,203829.00000,0.25999,10.00000,2.58200,4.66084,10.00000,max
mnist1-deskewed,dl,1000.00000,784.00000,4.66093,422.00000,784000.00000,332582.00000,0.42421,2.00000,1.57800,4.65811,2.00000,max
mnist1-deskewed,dl,1000.00000,784.00000,4.66093,422.00000,784000.00000,332582.00000,0.42421,2.00000,1.57800,4.65811,2.00000,max
mnist1-deskewed,dch,1000.00000,784.00000,4.66093,255.00000,784000.00000,203829.00000,0.25999,10.00000,2.58200,4.66084,10.00000,max
