No. of points(n),No. of dimensions(d),Error tolerance(epsilon),Dictionary size(k),Initial memory,Final memory,Compression ratio,Sparsity level,Sparsity coeff,Final cost
569,30,0.32456,60,17070,2818,0.16508,2,0.031576,0.31835
569,30,0.32456,60,17070,2818,0.16508,2,0.031576,0.31835
