351,34,1.4024,0.01,93,1.388,9.2678,10.656,0.99779,11934,35733,2.9942
351,34,1.4024,0.02,93,1.4543,18.048,19.502,0.99295,11934,35575,2.981
351,34,1.4024,0.03,93,1.6464,26.385,28.032,0.98628,11934,35357,2.9627
351,34,1.4024,0.04,93,1.8477,34.353,36.2,0.97779,11934,35080,2.9395
351,34,1.4024,0.05,93,2.0541,42.042,44.096,0.96802,11934,34761,2.9128
351,34,1.4024,0.06,93,2.1499,49.387,51.537,0.9576,11934,34421,2.8843
351,34,1.4024,0.07,93,2.3088,56.342,58.651,0.94023,11934,33854,2.8368
351,34,1.4024,0.08,93,2.5057,62.996,65.501,0.92384,11934,33319,2.7919
351,34,1.4024,0.09,93,2.6022,69.236,71.839,0.91364,11934,32986,2.764
351,34,1.4024,0.1,93,2.666,74.851,77.517,0.88828,11934,32158,2.6947
351,34,1.4024,0.11,93,2.8229,80.432,83.255,0.87636,11934,31769,2.6621
351,34,1.4024,0.12,93,2.8492,85.275,88.124,0.84888,11934,30872,2.5869
351,34,1.4024,0.13,93,2.8872,89.019,91.906,0.82214,11934,29999,2.5137
351,34,1.4024,0.14,93,3.0081,94.915,97.923,0.80553,11934,29457,2.4683
351,34,1.4024,0.15,93,3.1314,98.048,101.18,0.78268,11934,28711,2.4058
351,34,1.4024,0.16,93,3.1777,103.36,106.53,0.77392,11934,28425,2.3819
351,34,1.4024,0.17,93,3.2323,105.97,109.2,0.74276,11934,27408,2.2966
351,34,1.4024,0.18,93,3.4138,112.43,115.84,0.74953,11934,27629,2.3151
351,34,1.4024,0.19,93,3.3198,114.93,118.25,0.71571,11934,26525,2.2226
351,34,1.4024,0.2,93,3.4139,115.28,118.69,0.68771,11934,25611,2.1461
351,34,1.4024,0.21,93,3.5051,121.51,125.02,0.69114,11934,25723,2.1554
351,34,1.4024,0.22,93,3.6251,127.43,131.06,0.67684,11934,25256,2.1163
351,34,1.4024,0.23,93,3.5854,126.82,130.41,0.64657,11934,24268,2.0335
351,34,1.4024,0.24,93,3.6748,130.97,134.64,0.64822,11934,24322,2.038
351,34,1.4024,0.25,93,3.7838,134.26,138.05,0.62745,11934,23644,1.9812
351,34,1.4024,0.26,93,3.9608,139.02,142.98,0.6273,11934,23639,1.9808
351,34,1.4024,0.27,93,4.0207,142,146.03,0.61293,11934,23170,1.9415
351,34,1.4024,0.28,93,3.9895,146.15,150.14,0.60466,11934,22900,1.9189
351,34,1.4024,0.29,93,4.0038,148.98,152.99,0.58524,11934,22266,1.8658
351,34,1.4024,0.3,93,4.1261,152.51,156.63,0.57593,11934,21962,1.8403
351,34,1.4024,0.31,93,4.1818,154.1,158.28,0.55464,11934,21267,1.7821
351,34,1.4024,0.32,93,4.2906,158.85,163.14,0.55657,11934,21330,1.7873
351,34,1.4024,0.33,93,4.2462,159.42,163.66,0.54119,11934,20828,1.7453
351,34,1.4024,0.34,93,4.3339,162.42,166.76,0.53531,11934,20636,1.7292
351,34,1.4024,0.35,93,4.3796,165.88,170.26,0.52253,11934,20219,1.6942
351,34,1.4024,0.36,93,4.5327,173.15,177.69,0.53509,11934,20629,1.7286
351,34,1.4024,0.37,93,4.4606,173.24,177.7,0.51579,11934,19999,1.6758
351,34,1.4024,0.38,93,4.538,177.9,182.44,0.50954,11934,19795,1.6587
351,34,1.4024,0.39,93,4.6611,179.02,183.68,0.50155,11934,19534,1.6368
351,34,1.4024,0.4,93,4.6725,181.71,186.39,0.49211,11934,19226,1.611
351,34,1.4024,0.41,93,4.6295,183.19,187.82,0.47578,11934,18693,1.5664
351,34,1.4024,0.42,93,4.7455,185.57,190.31,0.47153,11934,18554,1.5547
351,34,1.4024,0.43,93,4.6739,187.55,192.22,0.45443,11934,17996,1.508
351,34,1.4024,0.44,93,4.683,187.46,192.14,0.4404,11934,17538,1.4696
351,34,1.4024,0.45,93,4.88,194.83,199.71,0.4571,11934,18083,1.5153
351,34,1.4024,0.46,93,4.8821,196.51,201.39,0.4442,11934,17662,1.48
351,34,1.4024,0.47,93,4.9035,200.33,205.24,0.43847,11934,17475,1.4643
351,34,1.4024,0.48,93,4.9193,202.02,206.94,0.42836,11934,17145,1.4367
351,34,1.4024,0.49,93,4.9679,202.73,207.69,0.42046,11934,16887,1.415
351,34,1.4024,0.5,93,5.0164,207.54,212.56,0.4154,11934,16722,1.4012
351,34,1.4024,0.51,93,5.2574,214.83,220.09,0.42977,11934,17191,1.4405
351,34,1.4024,0.52,93,5.2581,212.43,217.69,0.4071,11934,16451,1.3785
351,34,1.4024,0.53,93,5.3701,220.2,225.57,0.4135,11934,16660,1.396
351,34,1.4024,0.54,93,5.2418,217.3,222.54,0.39276,11934,15983,1.3393
351,34,1.4024,0.55,93,5.2963,219.25,224.54,0.39059,11934,15912,1.3333
351,34,1.4024,0.56,93,5.296,221.95,227.25,0.38462,11934,15717,1.317
351,34,1.4024,0.57,93,5.2946,221.72,227.02,0.36872,11934,15198,1.2735
351,34,1.4024,0.58,93,5.4853,230.41,235.9,0.38753,11934,15812,1.325
351,34,1.4024,0.59,93,5.4753,230.82,236.29,0.37166,11934,15294,1.2815
351,34,1.4024,0.6,93,5.4937,231.59,237.08,0.36348,11934,15027,1.2592
351,34,1.4024,0.61,93,5.4803,232.73,238.21,0.35769,11934,14838,1.2433
351,34,1.4024,0.62,93,5.5084,237.55,243.06,0.35371,11934,14708,1.2324
351,34,1.4024,0.63,93,5.6403,242.02,247.66,0.35925,11934,14889,1.2476
351,34,1.4024,0.64,93,5.691,243.95,249.65,0.35389,11934,14714,1.2329
