n, d, epsilon, tau, k, reconstruction_error, sparsity_coeff, sparsity (L1 norm), cost_func, memory_initial, memory_final, compression_ratio
351,34,1.4024,0.72,93,66.445,0.0012866,3.8716,70.317,11934,3204,0.26848
351,34,1.4024,0.73,93,66.612,0.0012254,3.5681,70.18,11934,3202,0.26831
351,34,1.4024,0.74,93,66.772,0.0011947,3.2698,70.042,11934,3201,0.26823
351,34,1.4024,0.75,93,66.933,0.0011947,2.9656,69.899,11934,3201,0.26823
351,34,1.4024,0.76,93,67.087,0.0010109,2.675,69.762,11934,3195,0.26772
351,34,1.4024,0.77,93,67.225,0.0009803,2.4168,69.642,11934,3194,0.26764
351,34,1.4024,0.78,93,67.361,0.00094967,2.1599,69.521,11934,3193,0.26755
351,34,1.4024,0.79,93,67.489,0.0008884,1.9166,69.406,11934,3191,0.26739
351,34,1.4024,0.8,93,67.613,0.0007965,1.6802,69.294,11934,3188,0.26714
351,34,1.4024,0.81,93,67.728,0.00076586,1.4626,69.19,11934,3187,0.26705
351,34,1.4024,0.82,93,67.828,0.00067396,1.2672,69.096,11934,3184,0.2668
351,34,1.4024,0.83,93,67.924,0.00064332,1.0775,69.001,11934,3183,0.26672
351,34,1.4024,0.84,93,68.015,0.00058205,0.89423,68.909,11934,3181,0.26655
351,34,1.4024,0.85,93,68.093,0.00049015,0.7385,68.831,11934,3178,0.2663
351,34,1.4024,0.86,93,68.163,0.00045952,0.5956,68.759,11934,3177,0.26621
351,34,1.4024,0.87,93,68.221,0.00033698,0.48083,68.702,11934,3173,0.26588
351,34,1.4024,0.88,93,68.267,0.00027571,0.38856,68.656,11934,3171,0.26571
351,34,1.4024,0.89,93,68.305,0.00021444,0.31221,68.618,11934,3169,0.26554
351,34,1.4024,0.9,93,68.338,0.00021444,0.24848,68.586,11934,3169,0.26554
351,34,1.4024,0.91,93,68.367,0.00018381,0.18964,68.557,11934,3168,0.26546
351,34,1.4024,0.92,93,68.393,0.00015317,0.13762,68.53,11934,3167,0.26538
351,34,1.4024,0.93,93,68.416,0.00015317,0.090084,68.506,11934,3167,0.26538
351,34,1.4024,0.94,93,68.438,9.1903e-05,0.044672,68.483,11934,3165,0.26521
351,34,1.4024,0.95,93,68.452,6.1269e-05,0.016353,68.469,11934,3164,0.26512
351,34,1.4024,0.96,93,68.459,3.0634e-05,0.0021108,68.461,11934,3163,0.26504
351,34,1.4024,0.97,93,68.46,0,0,68.46,11934,3162,0.26496
351,34,1.4024,0.98,93,68.46,0,0,68.46,11934,3162,0.26496
351,34,1.4024,0.99,93,68.46,0,0,68.46,11934,3162,0.26496
351,34,1.4024,1,93,68.46,0,0,68.46,11934,3162,0.26496
